ue,numF,sps,voisin,herbi,ttt,combttt,LDMC,SLA 
70,T2F3,Mspi,Jussie,H,ESP,JHS,55.05,NA
2,T2F3,Jussie,Egeria,H,ESP,EHS,175.62,31.76
2,T2F1,Jussie,Egeria,H,ESP,EHS,196.00,30.20
2,T2F2,Jussie,Egeria,H,ESP,EHS,186.11,29.25
2,T3F1,Jussie,Egeria,H,ESP,EHS,196.28,24.84
2,T3F3,Jussie,Egeria,H,ESP,EHS,175.76,24.53
2,T3F2,Jussie,Egeria,H,ESP,EHS,201.34,24.20
2,T1F2,Jussie,Egeria,H,ESP,EHS,204.45,24.06
2,T1F3,Jussie,Egeria,H,ESP,EHS,189.39,24.00
2,T1F1,Jussie,Egeria,H,ESP,EHS,218.75,22.99
18,T3F2,Jussie,Egeria,H,ESP,EHS,148.94,37.55
18,T3F3,Jussie,Egeria,H,ESP,EHS,138.57,37.00
18,T1F3,Jussie,Egeria,H,ESP,EHS,148.42,35.38
18,T2F2,Jussie,Egeria,H,ESP,EHS,160.13,32.86
18,T3F1,Jussie,Egeria,H,ESP,EHS,170.82,32.71
18,T1F2,Jussie,Egeria,H,ESP,EHS,169.90,31.71
18,T2F1,Jussie,Egeria,H,ESP,EHS,175.14,31.29
18,T2F3,Jussie,Egeria,H,ESP,EHS,161.07,30.56
18,T1F1,Jussie,Egeria,H,ESP,EHS,188.15,29.44
22,T3F3,Jussie,Egeria,H,ESP,EHS,169.84,27.84
22,T3F2,Jussie,Egeria,H,ESP,EHS,178.57,27.70
22,T3F1,Jussie,Egeria,H,ESP,EHS,194.99,26.86
22,T1F3,Jussie,Egeria,H,ESP,EHS,166.47,26.17
22,T1F2,Jussie,Egeria,H,ESP,EHS,178.34,24.46
22,T2F2,Jussie,Egeria,H,ESP,EHS,190.62,24.15
22,T2F1,Jussie,Egeria,H,ESP,EHS,219.51,23.56
22,T1F1,Jussie,Egeria,H,ESP,EHS,195.29,22.77
22,T2F3,Jussie,Egeria,H,ESP,EHS,197.34,22.50
33,T2F3,Jussie,Egeria,H,ESP,EHS,125.71,35.68
33,T2F2,Jussie,Egeria,H,ESP,EHS,135.35,34.18
33,T1F3,Jussie,Egeria,H,ESP,EHS,128.82,33.39
33,T2F1,Jussie,Egeria,H,ESP,EHS,149.11,31.60
33,T1F2,Jussie,Egeria,H,ESP,EHS,143.95,29.07
33,T1F1,Jussie,Egeria,H,ESP,EHS,150.75,28.00
33,T3F3,Jussie,Egeria,H,ESP,EHS,127.66,25.17
33,T3F2,Jussie,Egeria,H,ESP,EHS,148.15,23.24
33,T3F1,Jussie,Egeria,H,ESP,EHS,164.47,22.40
44,T2F3,Jussie,Egeria,H,ESP,EHS,122.14,43.44
44,T2F1,Jussie,Egeria,H,ESP,EHS,158.62,38.70
44,T2F2,Jussie,Egeria,H,ESP,EHS,158.16,36.77
44,T3F2,Jussie,Egeria,H,ESP,EHS,156.95,32.43
44,T3F3,Jussie,Egeria,H,ESP,EHS,147.06,31.68
44,T3F1,Jussie,Egeria,H,ESP,EHS,171.25,30.71
44,T1F3,Jussie,Egeria,H,ESP,EHS,146.43,30.61
44,T1F2,Jussie,Egeria,H,ESP,EHS,152.51,30.00
44,T1F1,Jussie,Egeria,H,ESP,EHS,174.06,27.65
46,T2F2,Jussie,Egeria,H,ESP,EHS,96.35,44.59
46,T1F2,Jussie,Egeria,H,ESP,EHS,119.49,34.05
46,T2F3,Jussie,Egeria,H,ESP,EHS,100.21,34.04
46,T2F1,Jussie,Egeria,H,ESP,EHS,139.91,33.11
46,T3F1,Jussie,Egeria,H,ESP,EHS,131.06,28.32
46,T3F2,Jussie,Egeria,H,ESP,EHS,131.55,27.03
46,T1F1,Jussie,Egeria,H,ESP,EHS,143.97,26.98
46,T3F3,Jussie,Egeria,H,ESP,EHS,162.08,26.51
46,T1F3,Jussie,Egeria,H,ESP,EHS,149.71,25.47
61,T2F2,Jussie,Egeria,H,ESP,EHS,95.89,42.29
61,T3F2,Jussie,Egeria,H,ESP,EHS,83.49,41.11
61,T1F2,Jussie,Egeria,H,ESP,EHS,117.76,36.56
61,T2F3,Jussie,Egeria,H,ESP,EHS,132.35,36.44
61,T1F1,Jussie,Egeria,H,ESP,EHS,119.23,34.19
61,T2F1,Jussie,Egeria,H,ESP,EHS,145.16,31.85
61,T3F1,Jussie,Egeria,H,ESP,EHS,155.70,29.30
61,T1F3,Jussie,Egeria,H,ESP,EHS,154.15,28.08
61,T3F3,Jussie,Egeria,H,ESP,EHS,172.17,26.71
66,T2F2,Jussie,Egeria,H,ESP,EHS,96.08,48.31
66,T2F3,Jussie,Egeria,H,ESP,EHS,110.74,42.99
66,T2F1,Jussie,Egeria,H,ESP,EHS,111.40,41.15
66,T1F3,Jussie,Egeria,H,ESP,EHS,130.39,31.85
66,T1F2,Jussie,Egeria,H,ESP,EHS,157.35,27.69
66,T1F1,Jussie,Egeria,H,ESP,EHS,143.81,27.13
66,T3F2,Jussie,Egeria,H,ESP,EHS,160.96,24.80
66,T3F1,Jussie,Egeria,H,ESP,EHS,162.42,23.73
66,T3F3,Jussie,Egeria,H,ESP,EHS,186.01,22.88
9,T2F1,Jussie,Mspi,H,ESP,MHS,120.00,56.67
9,T2F2,Jussie,Mspi,H,ESP,MHS,158.62,45.65
9,T2F3,Jussie,Mspi,H,ESP,MHS,131.83,39.51
9,T1F3,Jussie,Mspi,H,ESP,MHS,143.55,36.78
9,T1F1,Jussie,Mspi,H,ESP,MHS,150.84,36.67
9,T1F2,Jussie,Mspi,H,ESP,MHS,163.88,34.08
9,T3F1,Jussie,Mspi,H,ESP,MHS,164.93,29.26
9,T3F2,Jussie,Mspi,H,ESP,MHS,168.35,29.23
9,T3F3,Jussie,Mspi,H,ESP,MHS,158.10,28.75
13,T1F3,Jussie,Mspi,H,ESP,MHS,54.89,67.39
13,T2F3,Jussie,Mspi,H,ESP,MHS,86.69,55.12
13,T1F2,Jussie,Mspi,H,ESP,MHS,91.78,51.25
13,T1F1,Jussie,Mspi,H,ESP,MHS,106.19,49.83
13,T3F1,Jussie,Mspi,H,ESP,MHS,112.35,36.46
13,T2F2,Jussie,Mspi,H,ESP,MHS,123.29,36.25
13,T3F2,Jussie,Mspi,H,ESP,MHS,126.66,35.10
13,T3F3,Jussie,Mspi,H,ESP,MHS,124.15,33.49
13,T2F1,Jussie,Mspi,H,ESP,MHS,188.54,28.10
20,T3F1,Jussie,Mspi,H,ESP,MHS,198.47,32.31
20,T2F2,Jussie,Mspi,H,ESP,MHS,171.83,31.15
20,T2F3,Jussie,Mspi,H,ESP,MHS,167.27,31.09
20,T3F2,Jussie,Mspi,H,ESP,MHS,202.25,30.00
20,T3F3,Jussie,Mspi,H,ESP,MHS,192.03,28.87
20,T2F1,Jussie,Mspi,H,ESP,MHS,194.29,26.76
20,T1F2,Jussie,Mspi,H,ESP,MHS,230.16,26.03
20,T1F3,Jussie,Mspi,H,ESP,MHS,213.37,25.54
20,T1F1,Jussie,Mspi,H,ESP,MHS,231.25,23.24
28,T1F1,Jussie,Mspi,H,ESP,MHS,NA,NA
28,T3F1,Jussie,Mspi,H,ESP,MHS,125.43,34.73
28,T3F3,Jussie,Mspi,H,ESP,MHS,128.01,34.02
28,T1F3,Jussie,Mspi,H,ESP,MHS,132.95,33.48
28,T1F2,Jussie,Mspi,H,ESP,MHS,138.49,32.35
28,T2F2,Jussie,Mspi,H,ESP,MHS,133.95,31.38
28,T3F2,Jussie,Mspi,H,ESP,MHS,146.93,29.18
28,T2F3,Jussie,Mspi,H,ESP,MHS,160.00,28.75
28,T2F1,Jussie,Mspi,H,ESP,MHS,153.08,27.53
42,T1F3,Jussie,Mspi,H,ESP,MHS,142.11,99.26
42,T1F2,Jussie,Mspi,H,ESP,MHS,144.07,71.47
42,T1F1,Jussie,Mspi,H,ESP,MHS,185.19,58.22
42,T2F3,Jussie,Mspi,H,ESP,MHS,153.13,29.30
42,T2F1,Jussie,Mspi,H,ESP,MHS,143.69,25.77
42,T2F2,Jussie,Mspi,H,ESP,MHS,169.71,23.85
42,T3F3,Jussie,Mspi,H,ESP,MHS,177.97,10.86
42,T3F2,Jussie,Mspi,H,ESP,MHS,170.90,10.20
42,T3F1,Jussie,Mspi,H,ESP,MHS,144.26,8.18
53,T2F3,Jussie,Mspi,H,ESP,MHS,81.63,58.41
53,T2F2,Jussie,Mspi,H,ESP,MHS,139.12,30.50
53,T3F3,Jussie,Mspi,H,ESP,MHS,151.46,28.07
53,T2F1,Jussie,Mspi,H,ESP,MHS,143.25,27.52
53,T3F1,Jussie,Mspi,H,ESP,MHS,152.85,26.86
53,T1F2,Jussie,Mspi,H,ESP,MHS,155.17,26.67
53,T1F1,Jussie,Mspi,H,ESP,MHS,150.63,25.00
53,T3F2,Jussie,Mspi,H,ESP,MHS,148.43,18.28
53,T1F3,Jussie,Mspi,H,ESP,MHS,219.78,14.83
59,T3F3,Jussie,Mspi,H,ESP,MHS,17.86,252.22
59,T2F1,Jussie,Mspi,H,ESP,MHS,121.65,38.98
59,T3F2,Jussie,Mspi,H,ESP,MHS,119.57,36.82
59,T2F3,Jussie,Mspi,H,ESP,MHS,133.97,35.28
59,T2F2,Jussie,Mspi,H,ESP,MHS,132.12,34.96
59,T3F1,Jussie,Mspi,H,ESP,MHS,128.76,34.67
59,T1F1,Jussie,Mspi,H,ESP,MHS,152.83,28.02
59,T1F3,Jussie,Mspi,H,ESP,MHS,161.55,27.20
59,T1F2,Jussie,Mspi,H,ESP,MHS,176.68,24.50
70,T1F1,Jussie,Mspi,H,ESP,MHS,106.06,43.21
70,T1F2,Jussie,Mspi,H,ESP,MHS,109.83,42.46
70,T3F3,Jussie,Mspi,H,ESP,MHS,121.29,38.06
70,T2F1,Jussie,Mspi,H,ESP,MHS,128.48,36.89
70,T3F1,Jussie,Mspi,H,ESP,MHS,141.07,36.37
70,T1F3,Jussie,Mspi,H,ESP,MHS,138.06,34.73
70,T2F3,Jussie,Mspi,H,ESP,MHS,138.83,34.31
70,T2F2,Jussie,Mspi,H,ESP,MHS,124.60,34.19
70,T3F2,Jussie,Mspi,H,ESP,MHS,166.05,33.33
2,T3F1,Egeria,Jussie,H,ESP,JHS,NA,NA
2,T3F2,Egeria,Jussie,H,ESP,JHS,NA,NA
2,T3F3,Egeria,Jussie,H,ESP,JHS,NA,NA
2,T1F3,Egeria,Jussie,H,ESP,JHS,230.77,53.33
2,T2F3,Egeria,Jussie,H,ESP,JHS,379.31,45.45
2,T1F2,Egeria,Jussie,H,ESP,JHS,50.00,40.00
2,T1F1,Egeria,Jussie,H,ESP,JHS,333.33,34.00
2,T2F1,Egeria,Jussie,H,ESP,JHS,470.59,26.25
2,T2F2,Egeria,Jussie,H,ESP,JHS,400.00,18.00
18,T3F3,Egeria,Jussie,H,ESP,JHS,35.71,310.00
18,T1F3,Egeria,Jussie,H,ESP,JHS,38.46,150.00
18,T1F2,Egeria,Jussie,H,ESP,JHS,58.82,130.00
18,T1F1,Egeria,Jussie,H,ESP,JHS,74.07,115.00
18,T2F2,Egeria,Jussie,H,ESP,JHS,90.91,90.00
18,T3F2,Egeria,Jussie,H,ESP,JHS,100.00,90.00
18,T3F1,Egeria,Jussie,H,ESP,JHS,111.11,83.33
18,T2F3,Egeria,Jussie,H,ESP,JHS,185.19,68.00
18,T2F1,Egeria,Jussie,H,ESP,JHS,214.29,48.33
22,T2F1,Egeria,Jussie,H,ESP,JHS,NA,NA
22,T2F2,Egeria,Jussie,H,ESP,JHS,NA,NA
22,T2F3,Egeria,Jussie,H,ESP,JHS,NA,NA
22,T3F1,Egeria,Jussie,H,ESP,JHS,NA,NA
22,T3F2,Egeria,Jussie,H,ESP,JHS,NA,NA
22,T3F3,Egeria,Jussie,H,ESP,JHS,NA,NA
22,T1F2,Egeria,Jussie,H,ESP,JHS,57.47,202.00
22,T1F1,Egeria,Jussie,H,ESP,JHS,100.00,120.00
22,T1F3,Egeria,Jussie,H,ESP,JHS,128.21,89.00
33,T3F1,Egeria,Jussie,H,ESP,JHS,NA,NA
33,T3F2,Egeria,Jussie,H,ESP,JHS,NA,NA
33,T3F3,Egeria,Jussie,H,ESP,JHS,NA,NA
33,T2F1,Egeria,Jussie,H,ESP,JHS,125.00,142.00
33,T2F3,Egeria,Jussie,H,ESP,JHS,81.63,135.00
33,T2F2,Egeria,Jussie,H,ESP,JHS,120.00,110.00
33,T1F1,Egeria,Jussie,H,ESP,JHS,81.63,87.50
33,T1F3,Egeria,Jussie,H,ESP,JHS,173.91,83.75
33,T1F2,Egeria,Jussie,H,ESP,JHS,160.00,70.00
44,T2F1,Egeria,Jussie,H,ESP,JHS,62.50,210.00
44,T2F3,Egeria,Jussie,H,ESP,JHS,111.11,110.00
44,T1F3,Egeria,Jussie,H,ESP,JHS,90.91,106.67
44,T3F3,Egeria,Jussie,H,ESP,JHS,128.21,89.00
44,T2F2,Egeria,Jussie,H,ESP,JHS,173.91,80.00
44,T3F2,Egeria,Jussie,H,ESP,JHS,93.02,80.00
44,T3F1,Egeria,Jussie,H,ESP,JHS,105.88,54.44
44,T1F1,Egeria,Jussie,H,ESP,JHS,195.65,50.00
44,T1F2,Egeria,Jussie,H,ESP,JHS,186.05,50.00
46,T1F2,Egeria,Jussie,H,ESP,JHS,NA,NA
46,T2F3,Egeria,Jussie,H,ESP,JHS,52.63,155.00
46,T2F1,Egeria,Jussie,H,ESP,JHS,105.26,140.00
46,T3F3,Egeria,Jussie,H,ESP,JHS,69.57,101.25
46,T3F2,Egeria,Jussie,H,ESP,JHS,80.00,76.00
46,T2F2,Egeria,Jussie,H,ESP,JHS,137.93,70.00
46,T1F3,Egeria,Jussie,H,ESP,JHS,113.92,67.78
46,T1F1,Egeria,Jussie,H,ESP,JHS,100.00,64.44
46,T3F1,Egeria,Jussie,H,ESP,JHS,154.55,41.18
61,T1F1,Egeria,Jussie,H,ESP,JHS,NA,NA
61,T1F2,Egeria,Jussie,H,ESP,JHS,NA,NA
61,T1F3,Egeria,Jussie,H,ESP,JHS,NA,NA
61,T2F1,Egeria,Jussie,H,ESP,JHS,NA,NA
61,T2F2,Egeria,Jussie,H,ESP,JHS,NA,NA
61,T2F3,Egeria,Jussie,H,ESP,JHS,NA,NA
61,T3F1,Egeria,Jussie,H,ESP,JHS,NA,NA
61,T3F2,Egeria,Jussie,H,ESP,JHS,NA,NA
61,T3F3,Egeria,Jussie,H,ESP,JHS,NA,NA
66,T3F1,Egeria,Jussie,H,ESP,JHS,NA,NA
66,T3F2,Egeria,Jussie,H,ESP,JHS,NA,NA
66,T3F3,Egeria,Jussie,H,ESP,JHS,NA,NA
66,T1F3,Egeria,Jussie,H,ESP,JHS,NA,NA
66,T2F1,Egeria,Jussie,H,ESP,JHS,157.89,188.33
66,T2F2,Egeria,Jussie,H,ESP,JHS,101.27,105.00
66,T1F1,Egeria,Jussie,H,ESP,JHS,78.43,92.50
66,T1F2,Egeria,Jussie,H,ESP,JHS,123.29,82.22
66,T2F3,Egeria,Jussie,H,ESP,JHS,170.73,78.57
4,T3F1,Egeria,Mspi,H,ESP,MHS,NA,NA
4,T3F2,Egeria,Mspi,H,ESP,MHS,NA,NA
4,T3F3,Egeria,Mspi,H,ESP,MHS,NA,NA
4,T1F3,Egeria,Mspi,H,ESP,MHS,120.48,109.00
4,T1F1,Egeria,Mspi,H,ESP,MHS,132.53,90.00
4,T1F2,Egeria,Mspi,H,ESP,MHS,176.47,77.50
4,T2F3,Egeria,Mspi,H,ESP,MHS,347.83,63.75
4,T2F1,Egeria,Mspi,H,ESP,MHS,321.43,56.67
4,T2F2,Egeria,Mspi,H,ESP,MHS,333.33,51.11
11,T1F1,Egeria,Mspi,H,ESP,MHS,NA,NA
11,T1F2,Egeria,Mspi,H,ESP,MHS,NA,NA
11,T1F3,Egeria,Mspi,H,ESP,MHS,NA,NA
11,T2F1,Egeria,Mspi,H,ESP,MHS,NA,NA
11,T2F2,Egeria,Mspi,H,ESP,MHS,NA,NA
11,T2F3,Egeria,Mspi,H,ESP,MHS,NA,NA
11,T3F3,Egeria,Mspi,H,ESP,MHS,109.76,106.67
11,T3F2,Egeria,Mspi,H,ESP,MHS,218.75,67.14
11,T3F1,Egeria,Mspi,H,ESP,MHS,300.00,62.00
27,T3F2,Egeria,Mspi,H,ESP,MHS,40.00,370.00
27,T2F2,Egeria,Mspi,H,ESP,MHS,38.46,290.00
27,T3F1,Egeria,Mspi,H,ESP,MHS,47.62,190.00
27,T3F3,Egeria,Mspi,H,ESP,MHS,250.00,126.67
27,T1F2,Egeria,Mspi,H,ESP,MHS,106.67,121.25
27,T2F3,Egeria,Mspi,H,ESP,MHS,150.00,116.67
27,T1F3,Egeria,Mspi,H,ESP,MHS,131.58,105.00
27,T1F1,Egeria,Mspi,H,ESP,MHS,60.98,102.00
27,T2F1,Egeria,Mspi,H,ESP,MHS,147.06,68.00
35,T2F2,Egeria,Mspi,H,ESP,MHS,NA,NA
35,T3F3,Egeria,Mspi,H,ESP,MHS,NA,NA
35,T1F2,Egeria,Mspi,H,ESP,MHS,138.61,65.00
35,T1F1,Egeria,Mspi,H,ESP,MHS,177.78,50.00
35,T1F3,Egeria,Mspi,H,ESP,MHS,212.77,43.50
35,T2F1,Egeria,Mspi,H,ESP,MHS,352.94,38.33
35,T2F3,Egeria,Mspi,H,ESP,MHS,333.33,30.00
35,T3F2,Egeria,Mspi,H,ESP,MHS,500.00,26.25
35,T3F1,Egeria,Mspi,H,ESP,MHS,85.71,18.33
37,T2F2,Egeria,Mspi,H,ESP,MHS,21.74,340.00
37,T2F3,Egeria,Mspi,H,ESP,MHS,20.00,310.00
37,T3F2,Egeria,Mspi,H,ESP,MHS,42.86,216.67
37,T1F2,Egeria,Mspi,H,ESP,MHS,74.07,145.00
37,T3F3,Egeria,Mspi,H,ESP,MHS,109.89,73.00
37,T3F1,Egeria,Mspi,H,ESP,MHS,151.16,58.46
37,T2F1,Egeria,Mspi,H,ESP,MHS,177.78,50.00
37,T1F1,Egeria,Mspi,H,ESP,MHS,119.05,48.00
